sample,RNA_1,RNA_2,RNA_3,RNA_4,RNA_5,RNA_6,RNA_7,RNA_8,RNA_9,RNA_10,RNA_11,RNA_12,RNA_13,RNA_14,RNA_15,RNA_16,RNA_17,RNA_18,RNA_19,RNA_20,RNA_21,RNA_22,RNA_23,RNA_24,RNA_25,RNA_26,RNA_27,RNA_28,RNA_29,RNA_30,RNA_31,RNA_32
TCGA-25-1315,-0.156029388,-0.622491717,0.17502965,-0.553555548,-0.598226488,1.220112801,0.782409549,-0.634374738,0.836282074,-0.615561843,-0.599817753,-0.157524154,-0.645053267,-0.625914931,-0.651608109,-0.647012651,-0.431830168,-0.618807673,-0.353074759,-0.649604976,-0.636470318,-0.233721018,-0.620383501,-0.129987732,-0.058818366,-0.656473458,-0.368947715,-0.641924739,-0.161681652,-0.379855573,0.572938979,-0.610395014
TCGA-09-0369,-0.610747755,0.446736127,2.954967022,-0.352509648,0.667730629,1.318072319,0.859495401,-0.634374738,1.90802002,-0.615561843,-0.599817753,-0.09739472,-0.415023297,-0.625914931,-0.651608109,-0.647012651,0.967109799,-0.618807673,-0.656554163,0.026462719,-0.636470318,1.091391683,-0.620383501,-0.028621702,0.632454276,0.249319598,-0.117155261,-0.714076638,1.649102926,-0.611507535,-0.270362288,-0.610395014
TCGA-61-1900,1.106953859,-0.622491717,-0.649656534,0.145613492,-0.558739245,0.34669733,-0.281132132,-0.634374738,1.248271585,-0.615561843,-0.189932674,-0.447313219,-0.179740459,-0.625914931,0.346667677,-0.647012651,-0.429869503,-0.618807673,-0.557868779,-0.073626742,-0.636470318,-0.466190189,-0.620383501,0.43303287,0.63460964,-0.656473458,0.995232999,-0.714076638,-0.609113157,-0.265426964,-0.434001267,-0.610395014
TCGA-13-1499,0.613679051,1.022814393,-0.649656534,0.819648445,-0.379763454,-0.438113272,-0.621293247,0.119493097,-0.208604187,0.317019999,-0.018959409,-0.146656349,0.64228195,-0.625914931,0.760568798,-0.647012651,0.755481303,-0.618807673,-0.25241071,-0.649604976,-0.636470318,0.443050921,-0.620383501,0.448768765,2.934745312,-0.656473458,0.831307888,-0.714076638,-0.609113157,0.945985973,-0.625305831,1.567758918
TCGA-25-1633,-0.511514604,0.989147127,-0.649656534,-0.376463383,-0.598226488,-0.434518635,-0.621293247,-0.138645977,1.040580988,1.024269342,0.013582618,-0.104797617,1.51472342,-0.625914931,0.130541861,-0.647012651,1.312373519,-0.618807673,-0.656554163,-0.649604976,-0.636470318,0.105336174,-0.620383501,0.29270494,1.5649333,-0.656473458,0.481625855,-0.714076638,-0.609113157,-0.583482087,-0.625305831,0.613375783
TCGA-13-0800,0.005084963,-0.622491717,1.703629494,-0.328547984,-0.469811469,2.813422918,0.045090441,-0.634374738,1.466464639,-0.615561843,-0.599817753,-0.633629441,-0.645053267,-0.625914931,-0.651608109,-0.647012651,-0.660443783,-0.618807673,0.987380981,-0.649604976,-0.636470318,-0.689939857,-0.026129916,0.606359005,0.52772969,-0.656473458,0.502791762,-0.714076638,0.305548429,0.394852638,-0.625305831,-0.215036139
TCGA-61-1998,-0.610747755,-0.622491717,-0.649656534,-0.690470874,-0.598226488,-0.134444714,-0.621293247,-0.634374738,-0.645413041,-0.060343888,-0.599817753,-0.18190147,0.751029849,-0.625914931,-0.651608109,0.389262199,0.091152236,-0.495978028,0.623264551,-0.649604976,-0.636470318,0.150501892,-0.620383501,-0.667419493,-0.65330416,-0.656473458,-0.580367744,-0.714076638,-0.474796534,-0.611507535,0.523747385,-0.610395014
TCGA-61-2003,-0.610747755,0.877655745,-0.649656534,-0.690470874,-0.598226488,0.207472041,-0.621293247,-0.146531716,0.434538513,0.679997206,-0.599817753,-0.232886463,0.007712407,-0.625914931,-0.651608109,-0.647012651,0.543744862,-0.618807673,-0.322552472,0.788389862,-0.636470318,1.167929173,-0.620383501,-0.554568052,1.218409419,0.447662503,0.318105221,-0.714076638,-0.609113157,-0.611507535,0.308829546,-0.195415691
TCGA-25-2404,-0.610747755,-0.32909438,-0.649656534,0.186922684,-0.598226488,-0.621973574,-0.219514281,-0.634374738,0.565415323,1.704045415,-0.473114222,0.281794906,2.066986322,-0.625914931,-0.000789121,-0.226988241,-0.228129208,-0.618807673,-0.65416497,-0.649604976,-0.533160985,1.14490521,-0.620383501,-0.667419493,-0.360788673,1.21718061,0.202854425,-0.646269441,-0.609113157,-0.611507535,-0.042685505,-0.329939932
TCGA-13-0768,-0.222794965,1.944168806,-0.649656534,0.640648425,-0.132894412,-0.621973574,-0.621293247,-0.116116971,-0.645413041,0.411560267,-0.325213283,-0.358732373,0.522138,-0.16230382,-0.107224464,-0.647012651,0.715183198,-0.401724309,-0.656554163,0.058348812,-0.636470318,1.07029283,-0.620383501,-0.667419493,1.83079052,-0.512325943,0.842228353,-0.714076638,-0.609113157,-0.51844734,-0.625305831,0.182347476
TCGA-24-0970,-0.386508673,0.581654727,-0.602383196,-0.450737774,-0.133269325,-0.505482733,-0.508784294,-0.634374738,1.042565823,0.041758195,-0.539912105,-0.622481167,0.276874602,-0.625914931,0.051164933,-0.647012651,0.742447734,-0.618807673,-0.656554163,0.281023204,-0.636470318,1.079051733,-0.620383501,-0.196328342,0.933871329,-0.232557043,-0.320504516,-0.714076638,-0.609113157,-0.611507535,0.139416471,0.296559125
TCGA-13-0720,-0.610747755,-0.622491717,-0.649656534,-0.198541,-0.598226488,-0.621973574,0.769751489,-0.634374738,-0.645413041,-0.615561843,-0.253267914,0.779570401,-0.645053267,-0.625914931,-0.548423827,0.829791546,-0.660443783,-0.618807673,0.014714149,-0.609776795,0.453185201,-0.689939857,-0.504726589,-0.667419493,-0.65330416,1.01294601,-0.580367744,-0.698203385,-0.609113157,0.160855487,-0.09759149,-0.610395014
TCGA-24-0966,-0.610747755,-0.622491717,0.197621733,-0.690470874,-0.598226488,-0.326236784,1.691125751,-0.634374738,-0.645413041,-0.615561843,-0.599817753,-0.215691939,-0.645053267,-0.625914931,-0.651608109,0.47085166,-0.660443783,-0.134363294,3.193827391,-0.649604976,1.503140092,-0.689939857,-0.26429832,-0.667419493,-0.65330416,-0.204402879,-0.580367744,-0.714076638,0.302118689,-0.611507535,0.998485804,-0.426284224
TCGA-24-1423,-0.247758135,-0.622491717,-0.649656534,-0.690470874,-0.598226488,-0.299661219,-0.005373915,-0.634374738,0.471702874,0.114075921,-0.002018608,-0.056365121,0.98147577,-0.625914931,-0.388130456,-0.156244427,0.520868957,-0.618807673,1.249933004,-0.649604976,-0.636470318,-0.689939857,-0.620383501,-0.667419493,0.19427678,0.313464284,-0.443912297,-0.222198129,-0.609113157,-0.611507535,0.038463429,-0.430889279
TCGA-13-0795,-0.610747755,1.862444043,0.262749225,-0.690470874,-0.598226488,-0.621973574,2.631806135,-0.634374738,0.455681622,0.695074558,-0.599817753,1.100303173,-0.645053267,-0.625914931,-0.651608109,-0.647012651,-0.460108578,-0.618807673,-0.132282779,3.064352989,-0.613247156,0.628598452,-0.620383501,-0.667419493,0.778047085,0.952954471,-0.580367744,-0.714076638,2.231197119,-0.611507535,1.19883728,1.292326093
TCGA-09-0367,-0.610747755,-0.622491717,-0.649656534,-0.690470874,-0.598226488,-0.621973574,0.760906994,-0.634374738,-0.645413041,-0.289084971,-0.599817753,-0.029933989,-0.486983061,-0.625914931,-0.651608109,0.69278264,-0.660443783,-0.325910598,-0.656554163,-0.649604976,-0.405356914,-0.689939857,-0.620383501,-0.667419493,-0.65330416,0.576260746,-0.580367744,0.729931056,-0.609113157,-0.611507535,-0.536670804,-0.610395014
TCGA-61-1740,-0.51389432,2.080058098,-0.649656534,1.557878137,-0.598226488,-0.621973574,-0.621293247,-0.031735227,-0.645413041,-0.615561843,1.897474647,-0.022248097,-0.645053267,0.271256804,-0.17029281,-0.647012651,-0.553494632,-0.3556844,-0.656554163,0.117194362,-0.636470318,-0.689939857,-0.620383501,-0.667419493,1.31758368,0.241876796,1.726683974,-0.714076638,-0.609113157,0.675275445,0.368390828,-0.085917518
TCGA-61-1737,-0.129659295,-0.314146668,-0.649656534,-0.069312498,-0.038010083,-0.621973574,-0.621293247,-0.634374738,-0.645413041,1.334360242,0.83246851,-0.315345973,1.886364102,0.288675994,1.693428993,-0.14924933,-0.660443783,0.08385019,-0.656554163,-0.649604976,-0.47634238,-0.689939857,-0.620383501,-0.667419493,-0.65330416,0.609471083,-0.580367744,-0.714076638,-0.609113157,-0.611507535,-0.625305831,-0.465868443
TCGA-13-1409,-0.610747755,-0.622491717,2.407948494,-0.362754226,-0.256421953,0.691371739,-0.04641445,-0.634374738,2.189542055,-0.615561843,-0.599817753,-0.633629441,-0.33985126,-0.625914931,-0.651608109,-0.647012651,0.695009589,-0.618807673,0.511179209,-0.649604976,-0.636470318,0.061525729,-0.543833017,0.420639575,0.975360572,-0.656473458,-0.580367744,0.343533069,-0.609113157,-0.611507535,-0.625305831,-0.610395014
TCGA-13-1405,-0.610747755,1.878366351,-0.649656534,0.341350496,-0.598226488,-0.621973574,-0.621293247,-0.634374738,-0.645413041,0.654594779,-0.104007915,-0.633629441,0.437348604,-0.625914931,0.71870935,-0.647012651,0.490671098,-0.618807673,-0.656554163,-0.216460288,-0.180573806,0.832054079,-0.620383501,-0.667419493,0.239875734,0.826458931,-0.411141694,-0.714076638,-0.609113157,-0.611507535,-0.144057915,0.226611182
TCGA-13-0924,-0.610747755,-0.033535551,-0.649656534,0.217537209,-0.598226488,-0.621973574,-0.549856722,-0.011344054,-0.645413041,-0.552488208,0.5301615,1.209033489,0.59782666,0.169261754,-0.209281698,-0.647012651,-0.464870542,-0.618807673,-0.656554163,-0.649604976,-0.636470318,-0.248397321,-0.620383501,-0.470907003,0.013352399,0.977250278,0.449786246,0.4026061,-0.609113157,-0.430101812,-0.625305831,-0.214085862
TCGA-10-0927,-0.610747755,-0.622491717,1.401344419,0.074544847,0.307321757,0.305934906,-0.535089016,-0.634374738,-0.279799074,-0.615561843,-0.599817753,-0.425546229,-0.645053267,-0.625914931,-0.651608109,-0.647012651,-0.588740349,-0.618807673,-0.111953944,-0.15704295,-0.629326224,-0.514633298,-0.620383501,0.742378354,-0.65330416,-0.656473458,-0.500885904,-0.714076638,-0.249493644,-0.467643976,-0.625305831,-0.610395014
TCGA-09-1674,0.483080894,0.241405413,2.129503489,-0.690470874,-0.342055947,2.603128195,-0.621293247,-0.634374738,1.773050785,-0.615561843,-0.599817753,-0.429777741,-0.307999313,-0.625914931,-0.651608109,-0.647012651,1.776285648,-0.618807673,-0.656554163,-0.571574748,-0.636470318,1.167130947,-0.620383501,0.025864182,1.888494492,-0.656473458,1.63878262,-0.714076638,-0.462730676,-0.611507535,0.904471457,1.310908675
TCGA-10-0936,-0.610747755,-0.525310278,-0.649656534,-0.557504416,-0.598226488,-0.002175763,2.792425632,-0.634374738,0.344756871,-0.615561843,-0.599817753,0.718158185,-0.645053267,-0.625914931,-0.651608109,-0.647012651,-0.660443783,-0.618807673,4.11587429,1.746246457,0.625865102,-0.689939857,-0.620383501,-0.667419493,2.668575525,1.681213379,1.047189236,-0.714076638,0.464154392,-0.385818481,0.376736552,2.89440918
TCGA-13-0916,-0.582182765,-0.094789565,-0.649656534,-0.581525028,-0.598226488,-0.621973574,-0.293369234,-0.610021114,-0.426529497,-0.615561843,-0.258950979,0.042666998,-0.645053267,0.407924622,-0.651608109,-0.647012651,-0.646134138,-0.618807673,1.629763365,-0.649604976,-0.606354415,-0.689939857,0.362654418,-0.667419493,1.70667994,-0.656473458,1.326104403,0.783080637,-0.450319678,-0.467099905,0.201601118,-0.610395014
TCGA-13-1511,-0.610747755,0.106261984,-0.284437001,-0.690470874,-0.598226488,-0.621973574,-0.621293247,-0.634374738,-0.645413041,-0.379075676,-0.507976413,-0.16209282,-0.332144439,0.18789047,0.55911237,-0.647012651,-0.660443783,0.48094213,-0.656554163,-0.471730173,0.505481124,-0.689939857,-0.583913565,-0.667419493,-0.65330416,0.227047458,-0.580367744,-0.009733875,-0.501001477,-0.611507535,-0.044516806,-0.398827195
TCGA-25-1316,-0.490882456,1.552062154,0.661863804,0.003510908,-0.598226488,-0.253384501,0.086592346,-0.634374738,1.503391385,-0.615561843,0.165342286,0.830946445,-0.03867957,-0.278886884,-0.651608109,-0.647012651,0.688737512,-0.618807673,-0.656554163,-0.574481666,-0.469038218,-0.080961883,-0.620383501,-0.667419493,-0.416196972,-0.656473458,0.712988198,-0.714076638,-0.365523964,-0.611507535,-0.625305831,-0.610395014
TCGA-13-2060,-0.610747755,1.147500038,-0.649656534,-0.690470874,-0.598226488,-0.621973574,-0.621293247,0.580931962,-0.645413041,-0.615561843,-0.48402378,-0.633629441,-0.645053267,2.345646381,-0.453658342,-0.647012651,-0.293553352,0.984399378,-0.656554163,0.182391241,-0.546509683,-0.689939857,0.003893202,-0.667419493,-0.398265451,-0.656473458,-0.580367744,-0.277154088,-0.140619472,-0.15309228,-0.509951293,0.972986221
TCGA-09-2051,-0.610747755,1.32275641,-0.649656534,0.198479772,-0.598226488,-0.621973574,0.452851057,-0.634374738,-0.180957749,-0.615561843,1.481217265,1.954140425,-0.5967713,0.472169191,-0.651608109,-0.647012651,-0.660443783,-0.603266478,-0.656554163,1.111946225,-0.636470318,-0.689939857,-0.620383501,-0.667419493,0.311000109,1.541578054,0.459439874,-0.714076638,-0.562898219,-0.611507535,0.674172461,-0.610395014
TCGA-25-2400,-0.038653262,-0.075068846,0.003630159,-0.690470874,-0.598226488,0.158272028,1.195393682,-0.634374738,-0.005382422,-0.600953639,-0.3999708,1.121848106,-0.645053267,-0.625914931,-0.651608109,-0.647012651,-0.660443783,-0.618807673,0.543306112,2.157330751,-0.636470318,-0.689939857,-0.620383501,-0.490594536,0.227044106,0.156975955,0.724138319,-0.402209997,0.896085739,-0.611507535,1.066063643,1.206274271
TCGA-13-1506,-0.610747755,0.791896939,0.00776281,-0.690470874,-0.598226488,0.429376811,1.084948897,-0.634374738,-0.645413041,-0.615561843,-0.599817753,0.179919377,-0.645053267,-0.625914931,-0.651608109,-0.647012651,0.295990318,-0.473155499,0.97451812,1.416678905,-0.636470318,-0.689939857,-0.620383501,0.014228188,0.259895921,0.56823194,1.163470864,-0.500787735,0.52486366,-0.199120864,0.732575119,1.469266415
TCGA-13-0920,1.352282882,-0.622491717,-0.649656534,1.169326901,0.654517651,0.245534375,-0.237772584,0.138956517,-0.645413041,-0.615561843,-0.190624714,-0.633629441,-0.645053267,0.165874362,-0.022595383,-0.082996555,-0.22745955,0.104770891,0.604643464,-0.649604976,-0.636470318,-0.689939857,0.235981286,1.046878219,-0.088778034,-0.656473458,-0.580367744,-0.714076638,-0.609113157,1.844930768,-0.625305831,-0.610395014
TCGA-09-1659,-0.610747755,0.188515186,-0.188484058,-0.690470874,-0.598226488,-0.621973574,-0.024057107,-0.634374738,-0.645413041,-0.190150544,-0.599817753,0.608860433,-0.125215217,-0.625914931,-0.634661853,-0.603608906,-0.660443783,-0.618807673,-0.049190227,0.810400903,-0.343360007,0.676857769,-0.620383501,-0.563836157,-0.65330416,-0.316520721,-0.473716497,-0.596062779,-0.609113157,-0.611507535,0.893238425,-0.578230858
TCGA-13-1505,0.077559695,0.327813029,-0.649656534,0.253483146,-0.44325763,0.051055264,-0.621293247,-0.145363986,0.158506066,-0.273676246,0.09233766,-0.633629441,0.079121716,0.045742106,-0.085813537,-0.647012651,-0.1301447,-0.618807673,-0.656554163,-0.649604976,-0.636470318,-0.142917812,-0.620383501,-0.369306505,2.471383572,-0.656473458,1.565748811,-0.714076638,-0.609113157,1.093291163,-0.625305831,-0.330013543
TCGA-25-1328,-0.610747755,-0.622491717,-0.649656534,-0.511203051,-0.598226488,-0.621973574,-0.621293247,-0.634374738,0.005185186,0.372293115,0.340037853,0.505711854,1.222254395,0.26942125,0.424614221,0.528960764,-0.645853221,-0.618807673,-0.046029683,-0.649604976,0.164990246,1.350317478,-0.620383501,-0.406097323,-0.65330416,-0.278245538,-0.580367744,-0.714076638,-0.609113157,-0.611507535,-0.188392028,-0.610395014
TCGA-24-1418,-0.610747755,0.974043906,-0.649656534,-0.690470874,-0.598226488,-0.238541633,-0.621293247,-0.634374738,0.033351664,1.146963954,-0.599817753,-0.314375103,0.987046897,-0.625914931,0.095203303,-0.647012651,1.902346492,-0.618807673,-0.000812298,0.095126539,-0.636470318,1.233662486,-0.620383501,-0.667419493,1.885574341,0.562908292,0.420005471,-0.714076638,-0.609113157,-0.611507535,-0.178738818,1.611266851
TCGA-61-1910,-0.610747755,-0.521686673,2.178468704,-0.690470874,-0.598226488,0.792096317,1.297672987,-0.018342687,-0.645413041,-0.615561843,-0.599817753,-0.135296911,-0.645053267,-0.539631963,-0.651608109,-0.647012651,-0.660443783,0.557428181,1.721469998,0.438173413,2.367746353,-0.689939857,-0.114704587,-0.111731842,-0.65330416,0.385808915,-0.580367744,-0.714076638,1.343359709,-0.611507535,-0.625305831,0.195487112
TCGA-13-1507,-0.610747755,0.817908704,-0.649656534,0.803203046,-0.424737453,-0.621973574,-0.621293247,-0.607468009,-0.645413041,0.523747087,-0.599817753,-0.633629441,-0.007466634,-0.31149599,-0.35837245,-0.647012651,0.57696569,0.097987093,-0.656554163,-0.649604976,-0.636470318,0.276230007,0.404390454,-0.667419493,-0.65330416,-0.656473458,-0.465396553,-0.714076638,-0.609113157,-0.611507535,-0.625305831,0.2749919
TCGA-61-1911,-0.603561699,0.646657765,-0.649656534,0.38422057,-0.598226488,-0.621973574,0.338391364,0.197126493,-0.645413041,-0.615561843,-0.00296984,-0.633629441,-0.645053267,0.591341853,-0.651608109,-0.37814787,-0.608016849,-0.341527402,-0.656554163,1.23678565,-0.636470318,-0.689939857,-0.620383501,-0.667419493,-0.110970318,-0.656473458,0.218271703,-0.714076638,-0.609113157,0.263814449,-0.398028761,-0.610395014
TCGA-30-1891,-0.610747755,1.170118451,-0.444642991,0.897501886,-0.598226488,-0.621973574,-0.300955296,0.135473952,-0.573680818,1.72602284,-0.599817753,0.468076229,1.916297078,-0.625914931,-0.485034883,-0.647012651,1.158206105,-0.618807673,-0.656554163,-0.509220421,-0.381782293,1.817218542,-0.620383501,0.719578922,0.375875235,1.364384174,0.377290547,-0.714076638,-0.609113157,-0.611507535,-0.625305831,-0.610395014
TCGA-10-0934,-0.610747755,0.381611496,1.870604038,-0.690470874,-0.598226488,-0.621973574,3.122712135,-0.634374738,-0.645413041,-0.615561843,-0.26321891,0.83384949,-0.645053267,-0.625914931,-0.651608109,-0.647012651,-0.660443783,-0.266288131,-0.656554163,2.283554792,2.164371729,-0.474693477,-0.620383501,-0.667419493,-0.65330416,-0.311008096,-0.580367744,-0.714076638,1.453406572,-0.611507535,2.881337881,-0.448228478
TCGA-24-1103,-0.610747755,-0.622491717,-0.623401582,-0.690470874,-0.598226488,-0.368407309,1.551746726,-0.634374738,-0.645413041,-0.615561843,0.056967795,-0.353888631,-0.645053267,-0.625914931,-0.651608109,0.317023098,-0.660443783,-0.083935723,1.214415312,-0.649604976,0.425217181,-0.689939857,-0.620383501,-0.667419493,-0.65330416,-0.55033803,-0.580367744,-0.714076638,-0.561215281,0.044997122,-0.588351846,-0.324531436
TCGA-25-2409,-0.610747755,-0.622491717,0.092884928,-0.690470874,-0.598226488,-0.621973574,-0.621293247,-0.222105518,-0.645413041,0.127630055,-0.289835393,-0.571254373,0.602668405,-0.47624889,-0.03093941,1.317285538,-0.660443783,-0.460026324,-0.361242503,-0.625702262,1.323441148,-0.423223764,-0.092878364,-0.667419493,-0.65330416,1.307734728,-0.402750552,-0.200290382,-0.609113157,-0.611507535,-0.625305831,-0.610395014
TCGA-61-2009,-0.172571197,-0.110434271,-0.649656534,-0.690470874,-0.321113706,-0.621973574,-0.621293247,-0.634374738,0.765626252,1.153467655,-0.013043631,-0.504198611,1.759714127,-0.384214967,0.416667402,-0.647012651,0.91402185,-0.119122058,-0.656554163,-0.649604976,-0.636470318,0.732969463,-0.620383501,-0.667419493,0.805795372,-0.140905783,-0.517488301,-0.714076638,-0.609113157,-0.611507535,0.070774451,-0.610395014
